match_id,group,team1,team2,score1,score2,pred_score1,pred_score2,sample_score1,sample_score2,p_home,p_draw,p_away,pred_p_home,pred_p_draw,pred_p_away,mdl_p_home,mdl_p_draw,mdl_p_away,lam_home,lam_away
1,A,Mexico,South Africa,2,0,1,0,1,1,1.000,0.000,0.000,0.687,0.212,0.101,0.687,0.212,0.101,1.649,0.568
2,A,Mexico,South Korea,1,0,1,0,1,2,0.478,0.293,0.229,0.478,0.293,0.229,0.478,0.293,0.229,1.166,0.919
3,A,Mexico,Czechia,1,0,1,0,2,0,0.530,0.269,0.202,0.530,0.269,0.202,0.530,0.269,0.202,1.628,0.688
4,A,South Africa,South Korea,0,1,0,1,1,1,0.163,0.249,0.588,0.163,0.249,0.588,0.163,0.249,0.588,0.805,1.774
5,A,South Africa,Czechia,1,1,1,1,2,1,0.204,0.268,0.528,0.204,0.268,0.528,0.204,0.268,0.528,1.118,1.293
6,A,South Korea,Czechia,2,1,1,0,4,0,1.000,0.000,0.000,0.435,0.285,0.281,0.435,0.285,0.281,1.833,0.817
7,B,Canada,Bosnia and Herzegovina,1,1,1,0,2,0,0.000,1.000,0.000,0.553,0.261,0.186,0.553,0.261,0.186,1.819,0.761
8,B,Canada,Qatar,1,1,1,1,4,0,0.721,0.192,0.086,0.721,0.192,0.086,0.721,0.192,0.086,1.914,1.035
9,B,Canada,Switzerland,1,1,1,1,1,0,0.276,0.281,0.443,0.276,0.281,0.443,0.276,0.281,0.443,1.236,1.282
10,B,Bosnia and Herzegovina,Qatar,1,1,1,1,0,0,0.516,0.257,0.227,0.516,0.257,0.227,0.516,0.257,0.227,1.166,1.484
11,B,Bosnia and Herzegovina,Switzerland,0,1,0,1,0,3,0.142,0.231,0.627,0.142,0.231,0.627,0.142,0.231,0.627,0.727,1.797
12,B,Qatar,Switzerland,1,1,1,1,0,2,0.000,1.000,0.000,0.095,0.197,0.708,0.095,0.197,0.708,1.045,1.841
13,C,Brazil,Morocco,1,1,1,0,3,0,0.000,1.000,0.000,0.544,0.271,0.184,0.544,0.271,0.184,1.004,0.825
14,C,Brazil,Haiti,2,0,2,0,2,2,0.854,0.099,0.047,0.854,0.099,0.047,0.854,0.099,0.047,2.277,0.631
15,C,Brazil,Scotland,1,0,1,0,2,0,0.635,0.218,0.148,0.635,0.218,0.148,0.635,0.218,0.148,1.527,0.718
16,C,Morocco,Haiti,1,0,1,0,2,0,0.703,0.195,0.103,0.703,0.195,0.103,0.703,0.195,0.103,1.896,0.629
17,C,Morocco,Scotland,1,0,1,0,0,0,0.498,0.288,0.215,0.498,0.288,0.215,0.498,0.288,0.215,1.332,0.662
18,C,Haiti,Scotland,0,1,1,1,0,3,0.000,0.000,1.000,0.182,0.230,0.588,0.182,0.230,0.588,1.020,1.523
19,D,United States,Paraguay,4,1,1,0,1,0,1.000,0.000,0.000,0.497,0.278,0.225,0.497,0.278,0.225,1.482,0.765
20,D,United States,Australia,1,1,1,1,3,1,0.507,0.253,0.240,0.507,0.253,0.240,0.507,0.253,0.240,1.146,1.138
21,D,United States,Turkiye,1,1,1,1,0,2,0.409,0.261,0.330,0.409,0.261,0.330,0.409,0.261,0.330,1.771,1.019
22,D,Paraguay,Australia,0,1,0,1,0,2,0.403,0.296,0.301,0.403,0.296,0.301,0.403,0.296,0.301,0.735,1.331
23,D,Paraguay,Turkiye,0,1,0,1,1,2,0.283,0.293,0.424,0.283,0.293,0.424,0.283,0.293,0.424,1.000,1.247
24,D,Australia,Turkiye,2,0,1,0,1,2,1.000,0.000,0.000,0.276,0.260,0.464,0.276,0.260,0.464,1.571,0.939
25,E,Germany,Curacao,7,1,3,0,2,1,1.000,0.000,0.000,0.889,0.074,0.037,0.889,0.074,0.037,3.100,0.728
26,E,Germany,Ivory Coast,1,0,1,0,3,0,0.596,0.240,0.164,0.596,0.240,0.164,0.596,0.240,0.164,1.674,0.866
